Region;Comuna;Establecimiento;Direccion
Region de Arica y Parinacota;General Lagos;Posta de Salud Rural Visviri;
Region de Arica y Parinacota;General Lagos;Posta de Salud Rural Alcerreca;
Region de Arica y Parinacota;Camarones;Posta de Salud Rural Codpa;
Region de Arica y Parinacota;Putre;Posta de Salud Rural Ticnamar;
Region de Arica y Parinacota;Arica;Posta de Salud Rural Sobraya;
Region de Arica y Parinacota;Arica;Centro de Salud Mental Comunitaria Norte;
Region de Arica y Parinacota;Arica;ESSMA Sur de Arica;Calle San Martin 235
Region de Arica y Parinacota;Arica;Centro Comunitario de Salud Familiar Dr. Miguel Massa;Calle Francisco Urzua 4241
Region de Arica y Parinacota;Arica;Centro Comunitario de Salud Familiar Dr. Rene Garcia Valenzuela;Calle Capitan Avalos 1462
Region de Arica y Parinacota;Arica;Centro Comunitario de Salud Familiar Cerro La Cruz;Calle Rafael Sotomayor 1496
Region de Arica y Parinacota;Arica;Policlinico Instituto de Seguridad del Trabajo;Calle 18 de Septiembre 1266
Region de Arica y Parinacota;Arica;SAPU Marco Antonio Carvajal Moreno;Avenida Cancha Rayada 4149
Region de Arica y Parinacota;Arica;SAPU Iris Veliz Hume;Calle Barros Luco 2269
Region de Arica y Parinacota;Arica;Centro Medico Lifemed;Calle Covadonga 286
Region de Tarapaca;Iquique;Policlinico Centro de Cumplimiento Penitenciario Iquique;
Region de Tarapaca;Pozo Almonte;Policlinico de Atencion Primaria del Centro de Detencion Preventiva de Pozo Almonte;Calle Libertad 624
Region de Tarapaca;Huara;SAPU Huara;
Region de Tarapaca;Alto Hospicio;Centro de Dialisis Alto Hospicio;Calle Inglaterra, Sector La Pampa 3125
Region de Tarapaca;Iquique;Laboratorio Medico Bioclinic Ltda.;Calle Juan Antonio Rios 2889
Region de Tarapaca;Iquique;Actividades Gestionadas por la Direccion del Servicio para apoyo de la Red (S.S de Iquique);Calle Anibal Pinto 815
Region de Tarapaca;Iquique;PRAIS (S.S. Iquique);Calle Anibal Pinto 815
Region de Tarapaca;Iquique;Clinica Dental Movil Simple. Pat. RW6740 (Iquique);Calle Thompson 1846
Region de Tarapaca;Iquique;Hospital Dr. Ernesto Torres Galdames (Iquique);Calle Heroes de la Concepcion 502
Region de Tarapaca;Iquique;Clinica Iquique;Calle Bernardo O'Higgins 103
Region de Tarapaca;Iquique;Clinica Tarapaca;Calle Barros Arana 1550
Region de Tarapaca;Iquique;Centro Clinico Militar Iquique;Calle Diego Portales 1041
Region de Tarapaca;Iquique;Centro Medico y Dental Megasalud Iquique;Calle Ramirez 1162
Region de Tarapaca;Iquique;Centro de Salud Mutual CChC Iquique;Calle Orella 769
Region de Tarapaca;Iquique;Policlinico Naval de Iquique;Pasaje Isaza 1055
Region de Tarapaca;Iquique;Policlinico FACH de Iquique;Calle Diego Portales 1605
Region de Tarapaca;Iquique;Policlinico Carabineros de Iquique;Calle Pedro Lagos 1105
Region de Tarapaca;Pica;Clinica Coposa Cia. Minera Dona Ines de Collahuasi;
Region de Tarapaca;Alto Hospicio;Clinica Establecimiento Penitenciario Alto Hospicio;
Region de Tarapaca;Iquique;Centro de Atencion Instituto de Seguridad del Trabajador Iquique;Calle Patricio Lynch 261
Region de Tarapaca;Iquique;Policlinico del Trabajador AChS Iquique;Calle Amunategui 1517
Region de Tarapaca;Iquique;Vacunatorio Sonrisa Infantil;Calle Anibal Pinto 1011
Region de Tarapaca;Alto Hospicio;Centro Medico y Dental Megasalud Alto Hospicio;Calle Chaca 3058
Region de Tarapaca;Iquique;Vacunatorio Vacumed;Avenida Arturo Prat 1170
Region de Tarapaca;Iquique;Centro de Salud Universidad Arturo Prat;Avenida Arturo Prat 2120
Region de Tarapaca;Iquique;Laboratorio Clinico Bionet;Calle San Martin 385
Region de Tarapaca;Iquique;Laboratorio Clinico Automatizado Elmo;Calle Vivar 1229
Region de Tarapaca;Iquique;Laboratorio Clinico Automatizado Biogenesis;Calle Orella 769
Region de Tarapaca;Iquique;Clinicum Laboratorio Automatizado Ltda.;Calle Esmeralda 731
Region de Tarapaca;Iquique;Centro de Dialisis Medicen;Avenida Tadeo Haenke 1934
Region de Tarapaca;Iquique;Centro de Dialisis Iquique;Calle Orella 1677
Region de Tarapaca;Iquique;Centro de Dialisis Corporacion Paul Harris;Calle Armada de Chile 2110
Region de Tarapaca;Iquique;Laboratorio Clinico Iquilab;Calle Latorre con Obispo Labbe 800
Region de Tarapaca;Iquique;Laboratorio Clinico Playa Brava;Calle Jose Francisco Vergara 3327
Region de Tarapaca;Alto Hospicio;Laboratorio Clinico del Norte;Avenida Ramon Perez Opazo 3154
Region de Tarapaca;Iquique;Laboratorio Clinico OASIS S.A.C.;Calle Riquelme 777
Region de Tarapaca;Iquique;Laboratorio Clinico Wallace Ltda.;Calle Latorre 973
Region de Tarapaca;Iquique;Centro de Dialisis la Tirana;Avenida La Tirana 3095
Region de Tarapaca;Iquique;Laboratorio Clinico Costanera;Calle Pedro Lagos 1090
Region de Tarapaca;Iquique;Laboratorio Clinico Arauco Ltda.;Calle Ramirez 1246
Region de Tarapaca;Iquique;Centro de Salud Familiar Cirujano Aguirre;
Region de Tarapaca;Iquique;Centro de Salud Familiar Cirujano Videla;
Region de Tarapaca;Iquique;Centro de Salud Familiar Cirujano Guzman;Avenida Pedro Prado 2763
Region de Tarapaca;Pozo Almonte;Centro de Salud Familiar Pozo Almonte;Calle Balmaceda 276
Region de Tarapaca;Pica;Centro de Salud Familiar Dr. Juan Marquez Vismarra;
Region de Tarapaca;Alto Hospicio;Centro de Salud Familiar Pedro Pulgar Melgarejo;
Region de Tarapaca;Iquique;Centro de Salud Familiar Sur de Iquique;
Region de Tarapaca;Alto Hospicio;Centro de Salud Familiar Dr. Hector Reyno Gutierrez;Calle Naciones Unidas 3080
Region de Tarapaca;Huara;Centro de Salud Familiar Dr. Amador Neghme Rodriguez;
Region de Tarapaca;Camina;Centro de Salud Familiar Camina;
Region de Tarapaca;Colchane;Centro de Salud Familiar Colchane;
Region de Tarapaca;Huara;Posta de Salud Rural Pisagua;
Region de Tarapaca;Huara;Posta de Salud Rural Huara;
Region de Tarapaca;Huara;Posta de Salud Rural Tarapaca;
Region de Tarapaca;Pozo Almonte;Posta de Salud Rural Mamina;
Region de Tarapaca;Camina;Posta de Salud Rural Camina;
Region de Tarapaca;Colchane;Posta de Salud Rural Colchane;
Region de Tarapaca;Pozo Almonte;Posta de Salud Rural La Tirana;
Region de Tarapaca;Huara;Posta de Salud Rural Chiapa;
Region de Tarapaca;Camina;Posta de Salud Rural Moquella;
Region de Tarapaca;Colchane;Posta de Salud Rural Enquelga;
Region de Tarapaca;Huara;Posta de Salud Rural Sibaya;
Region de Tarapaca;Pica;Posta de Salud Rural Cancosa;
Region de Tarapaca;Iquique;Posta de Salud Rural Chanavayita;
Region de Tarapaca;Iquique;Posta de Salud Rural San Marcos;
Region de Tarapaca;Pozo Almonte;Posta de Salud Rural La Huayca;
Region de Tarapaca;Colchane;Posta de Salud Rural Cariquima;
Region de Tarapaca;Pica;Posta de Salud Rural Matilla;
Region de Tarapaca;Iquique;COSAM Dr. Jorge Seguel Caceres;Calle Serrano 493
Region de Tarapaca;Iquique;COSAM Salvador Allende;
Region de Tarapaca;Alto Hospicio;COSAM Enrique Paris;
Region de Tarapaca;Iquique;Centro Comunitario de Salud Familiar Cerro Esmeralda;
Region de Tarapaca;Alto Hospicio;Centro Comunitario de Salud Familiar El Boro;
Region de Tarapaca;Iquique;SAPU Cirujano Aguirre;
Region de Tarapaca;Iquique;SAPU Cirujano Videla;
Region de Tarapaca;Iquique;SAPU Cirujano Guzman;Avenida Pedro Prado 2736
Region de Tarapaca;Pozo Almonte;SAPU Pozo Almonte;
Region de Tarapaca;Alto Hospicio;SAPU Pedro Pulgar Melgarejo;Calle Teniente Merino 3101
Region de Tarapaca;Iquique;SAR Sur de Iquique;
Region de Tarapaca;Alto Hospicio;SAPU El Boro;Calle Salitrera Domeyko 2765
Region de Tarapaca;Alto Hospicio;Laboratorio Clinico Wallace SpA.;Avenida Ramon Perez Opazo 3168
Region de Tarapaca;Huara;Posta de Salud Rural Pachica;
Region de Tarapaca;Alto Hospicio;Laboratorio Clinico TREZ-000;Calle Chaca Local 1, Piso 2 3058
Region de Tarapaca;Iquique;Laboratorio Clinico de Nueva Clinica Tarapaca;Calle Barros Arana 1550
Region de Tarapaca;Iquique;Instituto de Rehabilitacion Infantil TELETON (Iquique);Calle Jose Joaquin Perez 999
Region de Tarapaca;Alto Hospicio;Centro Comunitario de Salud Familiar La Tortuga;Calle Santa Rosa 3355
Region De Antofagasta;Calama;Vacunatorio y Sala de Procedimientos Daniela Alvarez;Calle Cobija, Oficina 302 2191
Region De Antofagasta;Calama;SAR Alemania;Calle Frei Bonn 2624
Region De Antofagasta;Antofagasta;Laboratorio Clinico Atenea;Calle Orella, Oficinas 401 y 402 610
Region De Antofagasta;Calama;Centro Comunitario de Salud Familiar Oasis;Avenida Vasco de Gama, Poblacion Nueva Alemania 3780
Region De Antofagasta;Antofagasta;Instituto de Rehabilitacion Infantil TELETON (Antofagasta);
Region De Antofagasta;Antofagasta;Laboratorio Clinico Kausay;Avenida Bernardo O'Higgins, Oficina 1202 1338
Region De Antofagasta;Antofagasta;Policlinico Gendarmeria Regional de Antofagasta;Calle Baron de la Riviere 1030
Region De Antofagasta;Antofagasta;COSAM Norte;Calle Benito Ocampo, Jardines del Norte 10506
Region De Antofagasta;Antofagasta;Vacunatorio Minimed;Calle Galleguillos Lorca, sala 2 1350
Region De Antofagasta;Antofagasta;Laboratorio Clinico Austral;Calle Eduardo Orchard, interior centro Medico SASEVI 1351
Region De Antofagasta;Antofagasta;Centro Oncologico del Norte (CON);Calle Los Pumas, sector Chimba Alto 10255
Region De Antofagasta;Calama;Instituto de Rehabilitacion Infantil TELETON (Calama);Calle Teniente Merino 3551
Region De Antofagasta;Antofagasta;Centro de Salud Familiar Valdivieso;Calle Cerro Pedregal 8755
Region De Antofagasta;Antofagasta;Laboratorio Clinico Lavoisier;Calle Maipu 889
Region De Antofagasta;Antofagasta;Actividades Gestionadas por la Direccion del Servicio para apoyo de la Red (S.S de Antofagasta);Calle Bolivar 523
Region De Antofagasta;Antofagasta;PRAIS (S.S Antofagasta);Calle Bolivar 523
Region De Antofagasta;Antofagasta;Clinica Dental Movil Simple. Pat. PW4072 (Antofagasta);Calle Bolivar 523
Region De Antofagasta;Antofagasta;Clinica Dental Movil Triple. Pat. BBZV82 (Antofagasta);Calle Bolivar 523
Region De Antofagasta;Antofagasta;Hospital Dr. Leonardo Guzman (Antofagasta);Avenida Argentina 1964
Region De Antofagasta;Calama;Hospital Dr. Carlos Cisternas (Calama);Avenida Grau 1490
Region De Antofagasta;Tocopilla;Hospital Dr. Marcos Macuada (Tocopilla);
Region De Antofagasta;Taltal;Hospital 21 de Mayo (Taltal);Calle O'Higgins 450
Region De Antofagasta;Mejillones;Hospital de Mejillones;Avenida Bernardo O'Higgins 451
Region De Antofagasta;Antofagasta;Centro Oncologico Ambulatorio;Calle Los Pumas 10255
Region De Antofagasta;Maria Elena;Hospital Cruz del Norte;
Region De Antofagasta;Antofagasta;Clinica Antofagasta;Calle Matta 1945
Region De Antofagasta;Antofagasta;Hospital Militar del Norte;Avenida Borgono 957
Region De Antofagasta;Calama;Clinica Mutual de Seguridad CChC de Calama;Avenida Central Sur 1813
Region De Antofagasta;Antofagasta;Clinica Baquedano;Calle Baquedano 298
Region De Antofagasta;Antofagasta;Clinica Urologica;Calle Sucre 453
Region De Antofagasta;Antofagasta;Clinica Oriente;Calle Talca 861
Region De Antofagasta;Tocopilla;Clinica Mutual de Seguridad CChC Tocopilla;Calle 21 de Mayo 1201
Region De Antofagasta;Calama;Clinica El Loa;Calle Granaderos 2924
Region De Antofagasta;Calama;Hospital del Cobre Salvador Allende;Avenida Chorrillos 689
Region De Antofagasta;Antofagasta;Clinica La Portada;Calle Balmaceda 2648
Region De Antofagasta;Calama;Laboratorio Clinico Calama;Calle Madame Curie 2312
Region De Antofagasta;Antofagasta;Clinica Oftalmologica (Mas Vision);Calle Condell 1973
Region De Antofagasta;Antofagasta;Clinica Cumbres del Norte S.A.;Calle San Martin 2447
Region De Antofagasta;Calama;Centro Medico y Dental Megasalud Calama;Avenida Granaderos 1474
Region De Antofagasta;Antofagasta;Centro Medico y Dental Megasalud Antofagasta;Calle Suecia 251
Region De Antofagasta;Antofagasta;Centro de Salud Mutual CChC Antofagasta;Calle Balmaceda 2634
Region De Antofagasta;Antofagasta;Policlinico del Trabajador AChS Antofagasta;Avenida Grecia 840
Region De Antofagasta;Antofagasta;Centro Medico Norte;Avenida Pedro Aguirre Cerda 8367
Region De Antofagasta;Antofagasta;Consultorio Bautista;Calle Paihuano 1119
Region De Antofagasta;Antofagasta;Laboratorio Clinico Ehrlich;Calle San Martin 2390
Region De Antofagasta;Antofagasta;Policlinico Mantos Blancos;Avenida O'Higgins 1964
Region De Antofagasta;Calama;Centro de Salud Victoria Saravia Crespo;Calle Cobija 2141
Region De Antofagasta;Calama;Centro de Salud Aidoret Caro;Calle Cobija 2188
Region De Antofagasta;Antofagasta;Centro de Salud Clinisan;Calle Maipu 898
Region De Antofagasta;Antofagasta;Centro de Salud Sanymed;Calle Coquimbo 712
Region De Antofagasta;Calama;Clinica de la Familia El Loa;Calle Juan Bautista Herrada 1631
Region De Antofagasta;Antofagasta;Sociedad Dialisis Nordial Ltda.;Calle Matias Rojas 1376
Region De Antofagasta;Antofagasta;Centro Medico y Dental Zona Antofagasta;Calle Anibal Pinto 3471
Region De Antofagasta;Calama;Consultorio Prefectura de El Loa;Calle Chorrillos 922
Region De Antofagasta;Antofagasta;Policlinico Instituto de Seguridad del Trabajo;Calle Orella 679
Region De Antofagasta;Calama;Laboratorio Diagnos;Calle Vicuna Mackenna 1974
Region De Antofagasta;Calama;Laboratorio High Clinic;Calle Granaderos 2683
Region De Antofagasta;Calama;Laboratorio Tecmed Ltda.;Calle Cobija 2191
Region De Antofagasta;Antofagasta;Laboratorio Histonor;Avenida Argentina 1609
Region De Antofagasta;Antofagasta;Laboratorio Diagnolab (Antofagasta);Calle Sucre 251
Region De Antofagasta;Antofagasta;Laboratorio Luis Pasteur;Calle 14 de Febrero 2556
Region De Antofagasta;Antofagasta;Laboratorio Bionet;Calle Prat 1168
Region De Antofagasta;Antofagasta;Laboratorio Clinilab (Antofagasta);Calle General Velasquez 1285
Region De Antofagasta;Antofagasta;Laboratorio Clinico Blanco;Calle Matta 1839
Region De Antofagasta;Antofagasta;Laboratorio Radiolab;Avenida Bernardo O'Higgins 1974
Region De Antofagasta;Antofagasta;Doctor'Lab. Ltda.;Calle Condell 2782
Region De Antofagasta;Calama;Centro de Dialisis Calama;Calle Carcote 1825
Region De Antofagasta;Antofagasta;Clinica de Dialisis TECDIAL Ltda.;Calle Los Limoneros 223
Region De Antofagasta;Antofagasta;Laboratorio Clinico Labclin;Calle San Martin 2477
Region De Antofagasta;Antofagasta;Laboratorio Dipreca;Calle Latorre 2356
Region De Antofagasta;Antofagasta;Laboratorio Clinico Galeno;Calle Coquimbo 712
Region De Antofagasta;Antofagasta;Laboratorio Clinico Madison EIRL;Avenida Grecia 1849
Region De Antofagasta;Calama;Laboratorio Clinico Salumed;Calle Cobija 2188
Region De Antofagasta;Calama;Laboratorio Clinico Diagnolab;Calle Granaderos 1474
Region De Antofagasta;Calama;Laboratorio Clinico Blanco;Avenida Granaderos 3251
Region De Antofagasta;Calama;Laboratorio Clinico COMDES;Calle Banados Espinoza 1850
Region De Antofagasta;Antofagasta;Laboratorio Sarita Nunez;Calle Cristobal Colon 5262
Region De Antofagasta;Antofagasta;Centro de Salud Familiar Norte de Antofagasta;
Region De Antofagasta;Antofagasta;Centro de Salud Familiar Antonio Rendic (Ex Cautin);Avenida Rendic 6071
Region De Antofagasta;Antofagasta;Centro de Salud Familiar Corvallis;Avenida Salvado Allende 1370
Region De Antofagasta;Antofagasta;Centro de Salud Familiar Centro Sur de Antofagasta;Pasaje Niebla 850
Region De Antofagasta;Antofagasta;Centro de Salud Familiar Juan Pablo II de Antofagasta;
Region De Antofagasta;Calama;Centro de Salud Familiar Central de Calama;
Region De Antofagasta;Calama;Centro de Salud Familiar Montt;Avenida Granaderos 3968
Region De Antofagasta;Calama;Centro de Salud Familiar Alemania de Calama;Calle Colonia 2611
Region De Antofagasta;Antofagasta;Centro de Salud Familiar Central Oriente de Antofagasta;
Region De Antofagasta;Maria Elena;Centro de Salud Familiar Maria Elena;
Region De Antofagasta;San Pedro de Atacama;Centro de Salud Familiar San Pedro Atacama;
Region De Antofagasta;Calama;Centro de Salud Familiar Norponiente;Calle Luis Emilio Recabarren 3825
Region De Antofagasta;Antofagasta;Centro Asistencial Norte (CAN);Calle Los Pumas 10255
Region De Antofagasta;Sierra Gorda;Posta de Salud Rural Baquedano;Calle Salvador Allende 112
Region De Antofagasta;Sierra Gorda;Posta de Salud Rural Sierra Gorda;Calle Salvador Allende 211
Region De Antofagasta;San Pedro de Atacama;Posta de Salud Rural Toconao;
Region De Antofagasta;San Pedro de Atacama;Posta de Salud Rural Peine;
Region De Antofagasta;San Pedro de Atacama;Posta de Salud Rural Socaire;
Region De Antofagasta;Calama;Posta de Salud Rural Caspana;
Region De Antofagasta;Ollague;Posta de Salud Rural Ollague;
Region De Antofagasta;Calama;Posta de Salud Rural Ayquina;Calle San Roque 321
Region De Antofagasta;Calama;Posta de Salud Rural Chiu-Chiu;
Region De Antofagasta;Maria Elena;Posta de Salud Rural Quillagua (Maria Elena);
Region De Antofagasta;Taltal;Posta de Salud Rural Paposo;
Region De Antofagasta;San Pedro de Atacama;Estacion de Salud Rural Rio Grande;
Region De Antofagasta;Calama;COSAM Calama;Avenida Argentina 2610
Region De Antofagasta;Antofagasta;COSAM Sur de Antofagasta;Calle Antonio Varas 1222
Region De Antofagasta;Antofagasta;COSAM Central;Avenida Rendic 6071
Region De Antofagasta;Tocopilla;Policlinico Asociacion Chilena de Seguridad AChS Tocopilla;Calle Arturo Prat 1198
Region De Antofagasta;Calama;Policiinico Asociacion Chilena de Seguridad AChS Calama;Calle Granaderos 2924
Region De Antofagasta;Mejillones;Policlinico Asociacion Chilena de Seguridad AChS Mejillones;Calle Almirante Latorre 720
Region De Antofagasta;Antofagasta;SAPU Central Oriente de Antofagasta;
Region De Antofagasta;Antofagasta;SAPU Centro Sur de Antofagasta;Pasaje Niebla 850
Region De Antofagasta;Antofagasta;Crystal Lab Scientific Diagnostics;Calle Matta, Oficina 601 2095
Region De Antofagasta;Calama;Centro de Dialisis Renacer;Calle Punta de Rieles 1917
Region De Antofagasta;Calama;Margaret Meneses Meneses;Calle Vicuna Mackenna, Piso 2º, Ofinas 9, 11 y 12 1974
Region De Antofagasta;Antofagasta;Centro de Dialisis Ehrlich Limitada;Calle Los Pinos 8560
Region De Antofagasta;Antofagasta;Centro de Salud Familiar Dra. Maria Cristina Rojas Neumann;Calle Hilda Cruz Colina 10130
Region De Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Antofagasta;
Region De Antofagasta;Calama;Centro Comunitario de Salud Familiar Sur;
Region De Antofagasta;Calama;Centro Comunitario de Salud Familiar Alemania;Calle Chacabuco 3076
Region De Antofagasta;Antofagasta;SAPU Norte de Antofagasta;
Region De Antofagasta;Antofagasta;SAPU Antonio Rendic;Avenida Rendic 6071
Region De Antofagasta;Antofagasta;SAPU Corvallis;Avenida Salvador Allende 1370
Region De Antofagasta;Antofagasta;SAPU Juan Pablo II de Antofagasta;
Region De Antofagasta;Calama;SAPUEnrique Montt;Avenida Luis Emilio Recabarren 3825
Region De Antofagasta;Calama;SAPU Alemania de Calama;Calle Alonso de Ercilla 2902
Region De Antofagasta;Calama;Vacunatorio Sociedad de Enfermeria Asistencial E.I.R.L;Calle Cobija, Oficina 501 2188
Region De Antofagasta;Antofagasta;Vacunatorio Labonort Salud Integral;Calle Jose Santos Ossa 2213
Region De Antofagasta;Antofagasta;Laboratorio Medinort Salud Ocupacional e Integral S.A.;Calle Jose Santos Ossa, Piso 1º y 2º 2213
Region De Antofagasta;Antofagasta;INMUNIN SpA;Calle Manuel Antonio Matta, Oficina 501 1868
Region De Atacama;Copiapo;Actividades Gestionadas por la Direccion del Servicio para apoyo de la Red (S.S de Atacama);Calle Chacabuco 520
Region De Atacama;Copiapo;PRAIS (S.S Atacama);Calle Chacabuco 520
Region De Atacama;Copiapo;Clinica Dental Movil Simple. Pat. PW4068 (Copiapo);Calle Chacabuco 520
Region De Atacama;Copiapo;Hospital San Jose del Carmen (Copiapo);Calle Los Carrera 1320
Region De Atacama;Chanaral;Hospital Dr. Jeronimo Mendez Arancibia (Chanaral);Avenida Arturo Prat 1000
Region De Atacama;Diego de Almagro;Hospital Dr. Florencio Vargas (Diego de Almagro);Calle Juan Martinez 2200
Region De Atacama;Vallenar;Hospital Provincial del Huasco Monsenor Fernando Ariztia Ruiz (Vallenar);
Region De Atacama;Huasco;Hospital Dr. Manuel Magalhaes Medling (Huasco);Calle Canteras 105
Region De Atacama;Diego de Almagro;Clinica San Lorenzo;
Region De Atacama;Copiapo;Centro de Salud del Trabajador AChS Copiapo;Calle Infante 861
Region De Atacama;Copiapo;Centro de Salud Mutual CChC Copiapo;Calle Copayapu 877
Region De Atacama;Vallenar;Clinica del Trabajador AChS Vallenar;Calle Merced 1150
Region De Atacama;Copiapo;Centro de Salud Universidad de Atacama;Avenida Copayapu 5184
Region De Atacama;Vallenar;Centro de Salud Compania Acero del Pacifico;Calle Serrano 1755
Region De Atacama;Vallenar;Laboratorio Bio-Test;Calle Ramirez 1278
Region De Atacama;Copiapo;Laboratorio Atacama;Calle O'Higgins 777
Region De Atacama;Copiapo;Clinica Indire;Calle O'Higgins 901
Region De Atacama;Copiapo;Centro de Salud CEDIMED;Calle Salas 173
Region De Atacama;Copiapo;Laboratorio Clinico Guillermo Guaita;Calle Rodriguez 483
Region De Atacama;Vallenar;Laboratorio Clinico Huasco-Vallenar;Calle Serrano 1150
Region De Atacama;Copiapo;Laboratorio Clinico SIAC Copiapo;Calle Vallejos 535
Region De Atacama;Vallenar;Laboratorio Clinico Vallenar;Calle Prat 1150
Region De Atacama;Copiapo;Laboratorio Clinico Bionet S.A.;Calle Infante 861
Region De Atacama;Copiapo;Laboratorio Clinico Diagnolab;Calle Colipi 484
Region De Atacama;Copiapo;Laboratorio Clinico Examed;Calle Colipi 570
Region De Atacama;Vallenar;Laboratorio Clinico Coprese;Calle San Ambrosio 536
Region De Atacama;Copiapo;Clinica Atacama S.A.;Avenida Copayapu 877
Region De Atacama;Copiapo;Laboratorio Clinimed;Calle Rodriguez 483
Region De Atacama;Copiapo;Centro Medico y Diagnostico Atacama SPA;Calle Salas 747
Region De Atacama;Copiapo;Clinica Dial Vida;Calle Maraton 425
Region De Atacama;Copiapo;Centro de Dialisis Nefrodial Atacama;Calle Rodriguez 1020
Region De Atacama;Copiapo;Centro de Dialisis Curanilahue;Pasaje El Pino 572
Region De Atacama;Vallenar;Centro de Dialisis Vallenar;Calle Faezn 1094
Region De Atacama;Vallenar;Centro de Dialisis Renacer del Valle;Calle Prat 2025
Region De Atacama;Copiapo;Centro de Salud Familiar Santa Elvira;
Region De Atacama;Caldera;Centro de Salud Familiar Rosario Corvalan;
Region De Atacama;Copiapo;Centro de Salud Familiar Juan Martinez;
Region De Atacama;Copiapo;Centro de Salud Familiar Pedro Leon Gallo;Calle Flora Normilla 1007
Region De Atacama;Copiapo;Centro de Salud Familiar Rosario-Palomar;Calle Chacabuco 671
