Región;Comuna;Establecimiento;Dirección
Region de Arica y Parinacota;Arica;Clínica Mella Arica y Compañía Ltda.;Calle Almirante Latorre 565
Region de Arica y Parinacota;Arica;Policlínico Médico-Dental de Carabineros;Calle 18 de Septiembre 1672
Region de Arica y Parinacota;Arica;Laboratorio Clínico San José Ltda.;Calle Juan Noé 1325
Region de Arica y Parinacota;Arica;Laboratorio Bionet;Calle 18 de Septiembre 1375
Region de Arica y Parinacota;Arica;Laboratorio Clínico y Hematológico Diagnotest;Calle Arturo Gallo 455
Region de Arica y Parinacota;Arica;Laboratorio Clínico Central;Calle Almirante Latorre 580
Region de Arica y Parinacota;Arica;Laboratorio Clínico San Martín;Calle Colón 330
Region de Arica y Parinacota;Arica;Laboratorio Clínico Dialab;Calle 18 de Septiembre 933
Region de Arica y Parinacota;Arica;Laboratorio Clínico del Norte - Labonorte;Calle Covadonga 286
Region de Arica y Parinacota;Arica;Laboratorio Clínico Chungará;Calle 18 de Septiembre 1315
Region de Arica y Parinacota;Arica;Laboratorio Clínico Biolascer;Calle 18 de Septiembre 1338
Region de Arica y Parinacota;Arica;Centro de Salud Familiar Víctor Bertín Soto;Calle Belén 1635
Region de Arica y Parinacota;Arica;Centro de Salud Familiar Dr. Amador Neghme de Arica;Calle Cancha Rayada 4149
Region de Arica y Parinacota;Arica;Centro de Salud Familiar E. U. Iris Véliz Hume (Ex Oriente);Avenida Las Torres 2699
Region de Arica y Parinacota;Putre;Centro de Salud Familiar Putre;Calle Baquedano 261
Region de Arica y Parinacota;Arica;Centro de Salud Familiar Remigio Sapunar;Calle Silva Arriagada 1020
Region de Arica y Parinacota;Arica;Centro de Salud Ambiental de Arica;Calle San Martín 253
Region de Arica y Parinacota;Arica;Centro de Salud Familiar Eugenio Petruccelli Astudillo (ex Punta Norte);Avenida Linderos Poniente 4752
Region de Arica y Parinacota;Arica;Posta de Salud Rural San Miguel de Azapa;
Region de Arica y Parinacota;Arica;Posta de Salud Rural Poconchile;
Region de Arica y Parinacota;Putre;Posta de Salud Rural Belén (Putre);
Region de Arica y Parinacota;General Lagos;Posta de Salud Rural Visviri;
Region de Arica y Parinacota;General Lagos;Posta de Salud Rural Alcérreca;
Region de Arica y Parinacota;Camarones;Posta de Salud Rural Codpa;
Region de Arica y Parinacota;Putre;Posta de Salud Rural Ticnamar;
Region de Arica y Parinacota;Arica;Posta de Salud Rural Sobraya;
Region de Arica y Parinacota;Arica;Centro de Salud Mental Comunitaria Norte;
Region de Arica y Parinacota;Arica;ESSMA Sur de Arica;Calle San Martín 235
Region de Arica y Parinacota;Arica;Centro Comunitario de Salud Familiar Dr. Miguel Massa;Calle Francisco Urzúa 4241
Region de Arica y Parinacota;Arica;Centro Comunitario de Salud Familiar Dr. René García Valenzuela;Calle Capitan Ávalos 1462
Region de Arica y Parinacota;Arica;Centro Comunitario de Salud Familiar Cerro La Cruz;Calle Rafael Sotomayor 1496
Region de Arica y Parinacota;Arica;Policlínico Instituto de Seguridad del Trabajo;Calle 18 de Septiembre 1266
Region de Arica y Parinacota;Arica;SAPU Marco Antonio Carvajal Moreno;Avenida Cancha Rayada 4149
Region de Arica y Parinacota;Arica;SAPU Iris Véliz Hume;Calle Barros Luco 2269
Region de Arica y Parinacota;Arica;Centro Médico Lifemed;Calle Covadonga 286
Region de Tarapaca;Iquique;Policlínico Centro de Cumplimiento Penitenciario Iquique;
Region de Tarapaca;Pozo Almonte;Policlínico de Atención Primaria del Centro de Detención Preventiva de Pozo Almonte;Calle Libertad 624
Region de Tarapaca;Huara;SAPU Huara;
Region de Tarapaca;Alto Hospicio;Centro de Diálisis Alto Hospicio;Calle Inglaterra, Sector La Pampa 3125
Region de Tarapaca;Iquique;Laboratorio Médico Bioclinic Ltda.;Calle Juan Antonio Ríos 2889
Region de Tarapaca;Iquique;Actividades Gestionadas por la Dirección del Servicio para apoyo de la Red (S.S de Iquique);Calle Aníbal Pinto 815
Region de Tarapaca;Iquique;PRAIS (S.S. Iquique);Calle Aníbal Pinto 815
Region de Tarapaca;Iquique;Clínica Dental Móvil Simple. Pat. RW6740 (Iquique);Calle Thompson 1846
Region de Tarapaca;Iquique;Hospital Dr. Ernesto Torres Galdames (Iquique);Calle Héroes de la Concepción 502
Region de Tarapaca;Iquique;Clínica Iquique;Calle Bernardo O'Higgins 103
Region de Tarapaca;Iquique;Clínica Tarapacá;Calle Barros Arana 1550
Region de Tarapaca;Iquique;Centro Clínico Militar Iquique;Calle Diego Portales 1041
Region de Tarapaca;Iquique;Centro Médico y Dental Megasalud Iquique;Calle Ramírez 1162
Region de Tarapaca;Iquique;Centro de Salud Mutual CChC Iquique;Calle Orella 769
Region de Tarapaca;Iquique;Policlínico Naval de Iquique;Pasaje Isaza 1055
Region de Tarapaca;Iquique;Policlínico FACH de Iquique;Calle Diego Portales 1605
Region de Tarapaca;Iquique;Policlínico Carabineros de Iquique;Calle Pedro Lagos 1105
Region de Tarapaca;Pica;Clínica Coposa Cía. Minera Doña Inés de Collahuasi;
Region de Tarapaca;Alto Hospicio;Clínica Establecimiento Penitenciario Alto Hospicio;
Region de Tarapaca;Iquique;Centro de Atención Instituto de Seguridad del Trabajador Iquique;Calle Patricio Lynch 261
Region de Tarapaca;Iquique;Policlínico del Trabajador AChS Iquique;Calle Amunategui 1517
Region de Tarapaca;Iquique;Vacunatorio Sonrisa Infantil;Calle Aníbal Pinto 1011
Region de Tarapaca;Alto Hospicio;Centro Médico y Dental Megasalud Alto Hospicio;Calle Chaca 3058
Region de Tarapaca;Iquique;Vacunatorio Vacumed;Avenida Arturo Prat 1170
Region de Tarapaca;Iquique;Centro de Salud Universidad Arturo Prat;Avenida Arturo Prat 2120
Region de Tarapaca;Iquique;Laboratorio Clínico Bionet;Calle San Martín 385
Region de Tarapaca;Iquique;Laboratorio Clínico Automatizado Elmo;Calle Vivar 1229
Region de Tarapaca;Iquique;Laboratorio Clínico Automatizado Biogénesis;Calle Orella 769
Region de Tarapaca;Iquique;Clinicum Laboratorio Automatizado Ltda.;Calle Esmeralda 731
Region de Tarapaca;Iquique;Centro de Diálisis Medicen;Avenida Tadeo Haenke 1934
Region de Tarapaca;Iquique;Centro de Diálisis Iquique;Calle Orella 1677
Region de Tarapaca;Iquique;Centro de Diálisis Corporación Paúl Harris;Calle Armada de Chile 2110
Region de Tarapaca;Iquique;Laboratorio Clínico Iquilab;Calle Latorre con Obispo Labbé 800
Region de Tarapaca;Iquique;Laboratorio Clínico Playa Brava;Calle José Francisco Vergara 3327
Region de Tarapaca;Alto Hospicio;Laboratorio Clínico del Norte;Avenida Ramón Pérez Opazo 3154
Region de Tarapaca;Iquique;Laboratorio Clínico OASIS S.A.C.;Calle Riquelme 777
Region de Tarapaca;Iquique;Laboratorio Clínico Wallace Ltda.;Calle Latorre 973
Region de Tarapaca;Iquique;Centro de Diálisis la Tirana;Avenida La Tirana 3095
Region de Tarapaca;Iquique;Laboratorio Clínico Costanera;Calle Pedro Lagos 1090
Region de Tarapaca;Iquique;Laboratorio Clínico Arauco Ltda.;Calle Ramírez 1246
Region de Tarapaca;Iquique;Centro de Salud Familiar Cirujano Aguirre;
Region de Tarapaca;Iquique;Centro de Salud Familiar Cirujano Videla;
Region de Tarapaca;Iquique;Centro de Salud Familiar Cirujano Guzmán;Avenida Pedro Prado 2763
Region de Tarapaca;Pozo Almonte;Centro de Salud Familiar Pozo Almonte;Calle Balmaceda 276
Region de Tarapaca;Pica;Centro de Salud Familiar Dr. Juan Márquez Vismarra;
Region de Tarapaca;Alto Hospicio;Centro de Salud Familiar Pedro Pulgar Melgarejo;
Region de Tarapaca;Iquique;Centro de Salud Familiar Sur de Iquique;
Region de Tarapaca;Alto Hospicio;Centro de Salud Familiar Dr. Héctor Reyno Gutiérrez;Calle Naciones Unidas 3080
Region de Tarapaca;Huara;Centro de Salud Familiar Dr. Amador Neghme Rodríguez;
Region de Tarapaca;Camiña;Centro de Salud Familiar Camiña;
Region de Tarapaca;Colchane;Centro de Salud Familiar Colchane;
Region de Tarapaca;Huara;Posta de Salud Rural Pisagua;
Region de Tarapaca;Huara;Posta de Salud Rural Huara;
Region de Tarapaca;Huara;Posta de Salud Rural Tarapacá;
Region de Tarapaca;Pozo Almonte;Posta de Salud Rural Mamiña;
Region de Tarapaca;Camiña;Posta de Salud Rural Camiña;
Region de Tarapaca;Colchane;Posta de Salud Rural Colchane;
Region de Tarapaca;Pozo Almonte;Posta de Salud Rural La Tirana;
Region de Tarapaca;Huara;Posta de Salud Rural Chiapa;
Region de Tarapaca;Camiña;Posta de Salud Rural Moquella;
Region de Tarapaca;Colchane;Posta de Salud Rural Enquelga;
Region de Tarapaca;Huara;Posta de Salud Rural Sibaya;
Region de Tarapaca;Pica;Posta de Salud Rural Cancosa;
Region de Tarapaca;Iquique;Posta de Salud Rural Chanavayita;
Region de Tarapaca;Iquique;Posta de Salud Rural San Marcos;
Region de Tarapaca;Pozo Almonte;Posta de Salud Rural La Huayca;
Region de Tarapaca;Colchane;Posta de Salud Rural Cariquima;
Region de Tarapaca;Pica;Posta de Salud Rural Matilla;
Region de Tarapaca;Iquique;COSAM Dr. Jorge Seguel Cáceres;Calle Serrano 493
Region de Tarapaca;Iquique;COSAM Salvador Allende;
Region de Tarapaca;Alto Hospicio;COSAM Enrique París;
Region de Tarapaca;Iquique;Centro Comunitario de Salud Familiar Cerro Esmeralda;
Region de Tarapaca;Alto Hospicio;Centro Comunitario de Salud Familiar El Boro;
Region de Tarapaca;Iquique;SAPU Cirujano Aguirre;
Region de Tarapaca;Iquique;SAPU Cirujano Videla;
Region de Tarapaca;Iquique;SAPU Cirujano Guzmán;Avenida Pedro Prado 2736
Region de Tarapaca;Pozo Almonte;SAPU Pozo Almonte;
Region de Tarapaca;Alto Hospicio;SAPU Pedro Pulgar Melgarejo;Calle Teniente Merino 3101
Region de Tarapaca;Iquique;SAR Sur de Iquique;
Region de Tarapaca;Alto Hospicio;SAPU El Boro;Calle Salitrera Domeyko 2765
Region de Tarapaca;Alto Hospicio;Laboratorio Clínico Wallace SpA.;Avenida Ramón Pérez Opazo 3168
Region de Tarapaca;Huara;Posta de Salud Rural Pachica;
Region de Tarapaca;Alto Hospicio;Laboratorio Clínico TREZ-000;Calle Chaca Local 1, Piso 2 3058
Region de Tarapaca;Iquique;Laboratorio Clínico de Nueva Clínica Tarapacá;Calle Barros Arana 1550
Region de Tarapaca;Iquique;Instituto de Rehabilitación Infantil TELETÓN (Iquique);Calle José Joaquín Pérez 999
Region de Tarapaca;Alto Hospicio;Centro Comunitario de Salud Familiar La Tortuga;Calle Santa Rosa 3355
Region De Antofagasta;Calama;Vacunatorio y Sala de Procedimientos Daniela Alvarez;Calle Cobija, Oficina 302 2191
Region De Antofagasta;Calama;SAR Alemania;Calle Frei Bonn 2624
Region De Antofagasta;Antofagasta;Laboratorio Clínico Atenea;Calle Orella, Oficinas 401 y 402 610
Region De Antofagasta;Calama;Centro Comunitario de Salud Familiar Oasis;Avenida Vasco de Gama, Población Nueva Alemania 3780
Region De Antofagasta;Antofagasta;Instituto de Rehabilitación Infantil TELETÓN (Antofagasta);
Region De Antofagasta;Antofagasta;Laboratorio Clínico Kausay;Avenida Bernardo O'Higgins, Oficina 1202 1338
Region De Antofagasta;Antofagasta;Policlínico Gendarmería Regional de Antofagasta;Calle Barón de la Riviere 1030
Region De Antofagasta;Antofagasta;COSAM Norte;Calle Benito Ocampo, Jardines del Norte 10506
Region De Antofagasta;Antofagasta;Vacunatorio Minimed;Calle Galleguillos Lorca, sala 2 1350
Region De Antofagasta;Antofagasta;Laboratorio Clínico Austral;Calle Eduardo Orchard, interior centro Médico SASEVI 1351
Region De Antofagasta;Antofagasta;Centro Oncológico del Norte (CON);Calle Los Pumas, sector Chimba Alto 10255
Region De Antofagasta;Calama;Instituto de Rehabilitación Infantil TELETÓN (Calama);Calle Teniente Merino 3551
Region De Antofagasta;Antofagasta;Centro de Salud Familiar Valdivieso;Calle Cerro Pedregal 8755
Region De Antofagasta;Antofagasta;Laboratorio Clínico Lavoisier;Calle Maipú 889
Region De Antofagasta;Antofagasta;Actividades Gestionadas por la Dirección del Servicio para apoyo de la Red (S.S de Antofagasta);Calle Bolívar 523
Region De Antofagasta;Antofagasta;PRAIS (S.S Antofagasta);Calle Bolívar 523
Region De Antofagasta;Antofagasta;Clínica Dental Móvil Simple. Pat. PW4072 (Antofagasta);Calle Bolívar 523
Region De Antofagasta;Antofagasta;Clínica Dental Móvil Triple. Pat. BBZV82 (Antofagasta);Calle Bolívar 523
Region De Antofagasta;Antofagasta;Hospital Dr. Leonardo Guzmán (Antofagasta);Avenida Argentina 1964
Region De Antofagasta;Calama;Hospital Dr. Carlos Cisternas (Calama);Avenida Grau 1490
Region De Antofagasta;Tocopilla;Hospital Dr. Marcos Macuada (Tocopilla);
Region De Antofagasta;Taltal;Hospital 21 de Mayo (Taltal);Calle O'Higgins 450
Region De Antofagasta;Mejillones;Hospital de Mejillones;Avenida Bernardo O'Higgins 451
Region De Antofagasta;Antofagasta;Centro Oncológico Ambulatorio;Calle Los Pumas 10255
Region De Antofagasta;Maria Elena;Hospital Cruz del Norte;
Region De Antofagasta;Antofagasta;Clínica Antofagasta;Calle Matta 1945
Region De Antofagasta;Antofagasta;Hospital Militar del Norte;Avenida Borgoño 957
Region De Antofagasta;Calama;Clínica Mutual de Seguridad CChC de Calama;Avenida Central Sur 1813
Region De Antofagasta;Antofagasta;Clínica Baquedano;Calle Baquedano 298
Region De Antofagasta;Antofagasta;Clínica Urológica;Calle Sucre 453
Region De Antofagasta;Antofagasta;Clínica Oriente;Calle Talca 861
Region De Antofagasta;Tocopilla;Clínica Mutual de Seguridad CChC Tocopilla;Calle 21 de Mayo 1201
Region De Antofagasta;Calama;Clínica El Loa;Calle Granaderos 2924
Region De Antofagasta;Calama;Hospital del Cobre Salvador Allende;Avenida Chorrillos 689
Region De Antofagasta;Antofagasta;Clínica La Portada;Calle Balmaceda 2648
Region De Antofagasta;Calama;Laboratorio Clínico Calama;Calle Madame Curie 2312
Region De Antofagasta;Antofagasta;Clínica Oftalmológica (Mas Visión);Calle Condell 1973
Region De Antofagasta;Antofagasta;Clínica Cumbres del Norte S.A.;Calle San Martín 2447
Region De Antofagasta;Calama;Centro Médico y Dental Megasalud Calama;Avenida Granaderos 1474
Region De Antofagasta;Antofagasta;Centro Médico y Dental Megasalud Antofagasta;Calle Suecia 251
Region De Antofagasta;Antofagasta;Centro de Salud Mutual CChC Antofagasta;Calle Balmaceda 2634
Region De Antofagasta;Antofagasta;Policlínico del Trabajador AChS Antofagasta;Avenida Grecia 840
Region De Antofagasta;Antofagasta;Centro Médico Norte;Avenida Pedro Aguirre Cerda 8367
Region De Antofagasta;Antofagasta;Consultorio Bautista;Calle Paihuano 1119
Region De Antofagasta;Antofagasta;Laboratorio Clínico Ehrlich;Calle San Martín 2390
Region De Antofagasta;Antofagasta;Policlínico Mantos Blancos;Avenida O'Higgins 1964
Region De Antofagasta;Calama;Centro de Salud Victoria Saravia Crespo;Calle Cobija 2141
Region De Antofagasta;Calama;Centro de Salud Aidoret Caro;Calle Cobija 2188
Region De Antofagasta;Antofagasta;Centro de Salud Clinisan;Calle Maipú 898
Region De Antofagasta;Antofagasta;Centro de Salud Sanymed;Calle Coquimbo 712
Region De Antofagasta;Calama;Clínica de la Familia El Loa;Calle Juan Bautista Herrada 1631
Region De Antofagasta;Antofagasta;Sociedad Diálisis Nordial Ltda.;Calle Matías Rojas 1376
Region De Antofagasta;Antofagasta;Centro Médico y Dental Zona Antofagasta;Calle Aníbal Pinto 3471
Region De Antofagasta;Calama;Consultorio Prefectura de El Loa;Calle Chorrillos 922
Region De Antofagasta;Antofagasta;Policlínico Instituto de Seguridad del Trabajo;Calle Orella 679
Region De Antofagasta;Calama;Laboratorio Diagnos;Calle Vicuña Mackenna 1974
Region De Antofagasta;Calama;Laboratorio High Clinic;Calle Granaderos 2683
Region De Antofagasta;Calama;Laboratorio Tecmed Ltda.;Calle Cobija 2191
Region De Antofagasta;Antofagasta;Laboratorio Histonor;Avenida Argentina 1609
Region De Antofagasta;Antofagasta;Laboratorio Diagnolab (Antofagasta);Calle Sucre 251
Region De Antofagasta;Antofagasta;Laboratorio Luis Pasteur;Calle 14 de Febrero 2556
Region De Antofagasta;Antofagasta;Laboratorio Bionet;Calle Prat 1168
Region De Antofagasta;Antofagasta;Laboratorio Clinilab (Antofagasta);Calle General Velásquez 1285
Region De Antofagasta;Antofagasta;Laboratorio Clínico Blanco;Calle Matta 1839
Region De Antofagasta;Antofagasta;Laboratorio Radiolab;Avenida Bernardo O'Higgins 1974
Region De Antofagasta;Antofagasta;Doctor'Lab. Ltda.;Calle Condell 2782
Region De Antofagasta;Calama;Centro de Diálisis Calama;Calle Carcote 1825
Region De Antofagasta;Antofagasta;Clínica de Diálisis TECDIAL Ltda.;Calle Los Limoneros 223
Region De Antofagasta;Antofagasta;Laboratorio Clínico Labclin;Calle San Martín 2477
Region De Antofagasta;Antofagasta;Laboratorio Dipreca;Calle Latorre 2356
Region De Antofagasta;Antofagasta;Laboratorio Clínico Galeno;Calle Coquimbo 712
Region De Antofagasta;Antofagasta;Laboratorio Clínico Madison EIRL;Avenida Grecia 1849
Region De Antofagasta;Calama;Laboratorio Clínico Salumed;Calle Cobija 2188
Region De Antofagasta;Calama;Laboratorio Clínico Diagnolab;Calle Granaderos 1474
Region De Antofagasta;Calama;Laboratorio Clínico Blanco;Avenida Granaderos 3251
Region De Antofagasta;Calama;Laboratorio Clínico COMDES;Calle Bañados Espinoza 1850
Region De Antofagasta;Antofagasta;Laboratorio Sarita Núñez;Calle Cristóbal Colón 5262
Region De Antofagasta;Antofagasta;Centro de Salud Familiar Norte de Antofagasta;
Region De Antofagasta;Antofagasta;Centro de Salud Familiar Antonio Rendic (Ex Cautín);Avenida Rendic 6071
Region De Antofagasta;Antofagasta;Centro de Salud Familiar Corvallis;Avenida Salvado Allende 1370
Region De Antofagasta;Antofagasta;Centro de Salud Familiar Centro Sur de Antofagasta;Pasaje Niebla 850
Region De Antofagasta;Antofagasta;Centro de Salud Familiar Juan Pablo II de Antofagasta;
Region De Antofagasta;Calama;Centro de Salud Familiar Central de Calama;
Region De Antofagasta;Calama;Centro de Salud Familiar Montt;Avenida Granaderos 3968
Region De Antofagasta;Calama;Centro de Salud Familiar Alemania de Calama;Calle Colonia 2611
Region De Antofagasta;Antofagasta;Centro de Salud Familiar Central Oriente de Antofagasta;
Region De Antofagasta;Maria Elena;Centro de Salud Familiar María Elena;
Region De Antofagasta;San Pedro de Atacama;Centro de Salud Familiar San Pedro Atacama;
Region De Antofagasta;Calama;Centro de Salud Familiar Norponiente;Calle Luis Emilio Recabarren 3825
Region De Antofagasta;Antofagasta;Centro Asistencial Norte (CAN);Calle Los Pumas 10255
Region De Antofagasta;Sierra Gorda;Posta de Salud Rural Baquedano;Calle Salvador Allende 112
Region De Antofagasta;Sierra Gorda;Posta de Salud Rural Sierra Gorda;Calle Salvador Allende 211
Region De Antofagasta;San Pedro de Atacama;Posta de Salud Rural Toconao;
Region De Antofagasta;San Pedro de Atacama;Posta de Salud Rural Peine;
Region De Antofagasta;San Pedro de Atacama;Posta de Salud Rural Socaire;
Region De Antofagasta;Calama;Posta de Salud Rural Caspana;
Region De Antofagasta;Ollagüe;Posta de Salud Rural Ollagüe;
Region De Antofagasta;Calama;Posta de Salud Rural Ayquina;Calle San Roque 321
Region De Antofagasta;Calama;Posta de Salud Rural Chiu-Chiu;
Region De Antofagasta;Maria Elena;Posta de Salud Rural Quillagua (María Elena);
Region De Antofagasta;Taltal;Posta de Salud Rural Paposo;
Region De Antofagasta;San Pedro de Atacama;Estación de Salud Rural Río Grande;
Region De Antofagasta;Calama;COSAM Calama;Avenida Argentina 2610
Region De Antofagasta;Antofagasta;COSAM Sur de Antofagasta;Calle Antonio Varas 1222
Region De Antofagasta;Antofagasta;COSAM Central;Avenida Rendic 6071
Region De Antofagasta;Tocopilla;Policlínico Asociación Chilena de Seguridad AChS Tocopilla;Calle Arturo Prat 1198
Region De Antofagasta;Calama;Policíinico Asociación Chilena de Seguridad AChS Calama;Calle Granaderos 2924
Region De Antofagasta;Mejillones;Policlínico Asociación Chilena de Seguridad AChS Mejillones;Calle Almirante Latorre 720
Region De Antofagasta;Antofagasta;SAPU Central Oriente de Antofagasta;
Region De Antofagasta;Antofagasta;SAPU Centro Sur de Antofagasta;Pasaje Niebla 850
Region De Antofagasta;Antofagasta;Crystal Lab Scientific Diagnostics;Calle Matta, Oficina 601 2095
Region De Antofagasta;Calama;Centro de Diálisis Renacer;Calle Punta de Rieles 1917
Region De Antofagasta;Calama;Margaret Meneses Meneses;Calle Vicuña Mackenna, Piso 2º, Ofinas 9, 11 y 12 1974
Region De Antofagasta;Antofagasta;Centro de Diálisis Ehrlich Limitada;Calle Los Pinos 8560
Region De Antofagasta;Antofagasta;Centro de Salud Familiar Dra. Maria Cristina Rojas Neumann;Calle Hilda Cruz Colina 10130
Region De Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Antofagasta;
Region De Antofagasta;Calama;Centro Comunitario de Salud Familiar Sur;
Region De Antofagasta;Calama;Centro Comunitario de Salud Familiar Alemania;Calle Chacabuco 3076
Region De Antofagasta;Antofagasta;SAPU Norte de Antofagasta;
Region De Antofagasta;Antofagasta;SAPU Antonio Rendic;Avenida Rendic 6071
Region De Antofagasta;Antofagasta;SAPU Corvallis;Avenida Salvador Allende 1370
Region De Antofagasta;Antofagasta;SAPU Juan Pablo II de Antofagasta;
Region De Antofagasta;Calama;SAPUEnrique Montt;Avenida Luis Emilio Recabarren 3825
Region De Antofagasta;Calama;SAPU Alemania de Calama;Calle Alonso de Ercilla 2902
Region De Antofagasta;Calama;Vacunatorio Sociedad de Enfermería Asistencial E.I.R.L;Calle Cobija, Oficina 501 2188
Region De Antofagasta;Antofagasta;Vacunatorio Labonort Salud Integral;Calle José Santos Ossa 2213
Region De Antofagasta;Antofagasta;Laboratorio Medinort Salud Ocupacional e Integral S.A.;Calle José Santos Ossa, Piso 1º y 2º 2213
Region De Antofagasta;Antofagasta;INMUNIN SpA;Calle Manuel Antonio Matta, Oficina 501 1868
Region De Atacama;Copiapó;Actividades Gestionadas por la Dirección del Servicio para apoyo de la Red (S.S de Atacama);Calle Chacabuco 520
Region De Atacama;Copiapó;PRAIS (S.S Atacama);Calle Chacabuco 520
Region De Atacama;Copiapó;Clínica Dental Móvil Simple. Pat. PW4068 (Copiapo);Calle Chacabuco 520
Region De Atacama;Copiapó;Hospital San José del Carmen (Copiapó);Calle Los Carrera 1320
Region De Atacama;Chañaral;Hospital Dr. Jerónimo Méndez Arancibia (Chañaral);Avenida Arturo Prat 1000
Region De Atacama;Diego de Almagro;Hospital Dr. Florencio Vargas (Diego de Almagro);Calle Juan Martínez 2200
Region De Atacama;Vallenar;Hospital Provincial del Huasco Monseñor Fernando Ariztía Ruiz (Vallenar);
Region De Atacama;Huasco;Hospital Dr. Manuel Magalhaes Medling (Huasco);Calle Canteras 105
Region De Atacama;Diego de Almagro;Clínica San Lorenzo;
Region De Atacama;Copiapó;Centro de Salud del Trabajador AChS Copiapó;Calle Infante 861
Region De Atacama;Copiapó;Centro de Salud Mutual CChC Copiapó;Calle Copayapu 877
Region De Atacama;Vallenar;Clínica del Trabajador AChS Vallenar;Calle Merced 1150
Region De Atacama;Copiapó;Centro de Salud Universidad de Atacama;Avenida Copayapu 5184
Region De Atacama;Vallenar;Centro de Salud Compañía Acero del Pacifico;Calle Serrano 1755
Region De Atacama;Vallenar;Laboratorio Bio-Test;Calle Ramírez 1278
Region De Atacama;Copiapó;Laboratorio Atacama;Calle O'Higgins 777
Region De Atacama;Copiapó;Clínica Indire;Calle O'Higgins 901
Region De Atacama;Copiapó;Centro de Salud CEDIMED;Calle Salas 173
Region De Atacama;Copiapó;Laboratorio Clínico Guillermo Guaita;Calle Rodríguez 483
Region De Atacama;Vallenar;Laboratorio Clínico Huasco-Vallenar;Calle Serrano 1150
Region De Atacama;Copiapó;Laboratorio Clínico SIAC Copiapo;Calle Vallejos 535
Region De Atacama;Vallenar;Laboratorio Clínico Vallenar;Calle Prat 1150
Region De Atacama;Copiapó;Laboratorio Clínico Bionet S.A.;Calle Infante 861
Region De Atacama;Copiapó;Laboratorio Clínico Diagnolab;Calle Colipí 484
Region De Atacama;Copiapó;Laboratorio Clínico Examed;Calle Colipí 570
Region De Atacama;Vallenar;Laboratorio Clínico Coprese;Calle San Ambrosio 536
Region De Atacama;Copiapó;Clínica Atacama S.A.;Avenida Copayapu 877
Region De Atacama;Copiapó;Laboratorio Clinimed;Calle Rodríguez 483
Region De Atacama;Copiapó;Centro Médico y Diagnóstico Atacama SPA;Calle Salas 747
Region De Atacama;Copiapó;Clínica Dial Vida;Calle Maratón 425
Region De Atacama;Copiapó;Centro de Diálisis Nefrodial Atacama;Calle Rodríguez 1020
Region De Atacama;Copiapó;Centro de Diálisis Curanilahue;Pasaje El Pino 572
Region De Atacama;Vallenar;Centro de Diálisis Vallenar;Calle Faezn 1094
Region De Atacama;Vallenar;Centro de Diálisis Renacer del Valle;Calle Prat 2025
Region De Atacama;Copiapó;Centro de Salud Familiar Santa Elvira;
Region De Atacama;Caldera;Centro de Salud Familiar Rosario Corvalán;
Region De Atacama;Copiapó;Centro de Salud Familiar Juan Martínez;
Region De Atacama;Copiapó;Centro de Salud Familiar Pedro León Gallo;Calle Flora Normilla 1007
Region De Atacama;Copiapó;Centro de Salud Familiar Rosario-Palomar;Calle Chacabuco 671
