PK_NOMBRE_CENTRO;FK_COMUNA
PRAIS (S.S Antofagasta);Antofagasta
Clinica Dental Movil Simple. Pat. PW4072 (Antofagasta);Antofagasta
Clinica Dental Movil Triple. Pat. BBZV82 (Antofagasta);Antofagasta
Hospital Dr. Leonardo Guzman (Antofagasta);Antofagasta
Hospital Dr. Carlos Cisternas (Calama);Calama
Hospital Dr. Marcos Macuada (Tocopilla);Tocopilla
Hospital 21 de Mayo (Taltal);Taltal
Hospital de Mejillones;Mejillones
Centro Oncologico Ambulatorio;Antofagasta
Hospital Cruz del Norte;Maria Elena
Clinica Antofagasta;Antofagasta
Hospital Militar del Norte;Antofagasta
Clinica Mutual de Seguridad CChC de Calama;Calama
Clinica Baquedano;Antofagasta
Clinica Urologica;Antofagasta
Clinica Oriente;Antofagasta
Clinica Mutual de Seguridad CChC Tocopilla;Tocopilla
Clinica El Loa;Calama
Hospital del Cobre Salvador Allende;Calama
Clinica La Portada;Antofagasta
Laboratorio Clinico Calama;Calama
Clinica Oftalmologica (Mas Vision);Antofagasta
Clinica Cumbres del Norte S.A.;Antofagasta
Centro Medico y Dental Megasalud Calama;Calama
Centro Medico y Dental Megasalud Antofagasta;Antofagasta
Centro de Salud Mutual CChC Antofagasta;Antofagasta
Policlinico del Trabajador AChS Antofagasta;Antofagasta
Centro Medico Norte;Antofagasta
Consultorio Bautista;Antofagasta
Laboratorio Clinico Ehrlich;Antofagasta
Policlinico Mantos Blancos;Antofagasta
Centro de Salud Victoria Saravia Crespo;Calama
Centro de Salud Aidoret Caro;Calama
Centro de Salud Clinisan;Antofagasta
Centro de Salud Sanymed;Antofagasta
Clinica de la Familia El Loa;Calama
Sociedad Dialisis Nordial Ltda.;Antofagasta
Centro Medico y Dental Zona Antofagasta;Antofagasta
Consultorio Prefectura de El Loa;Calama
Policlinico Instituto de Seguridad del Trabajo;Antofagasta
Laboratorio Diagnos;Calama
Laboratorio High Clinic;Calama
Laboratorio Tecmed Ltda.;Calama
Laboratorio Histonor;Antofagasta
Laboratorio Diagnolab (Antofagasta);Antofagasta
Laboratorio Luis Pasteur;Antofagasta
Laboratorio Bionet;Antofagasta
Laboratorio Clinilab (Antofagasta);Antofagasta
Laboratorio Clinico Blanco;Antofagasta
Laboratorio Radiolab;Antofagasta
Doctor'Lab. Ltda.;Antofagasta
Centro de Dialisis Calama;Calama
Clinica de Dialisis TECDIAL Ltda.;Antofagasta
Laboratorio Clinico Labclin;Antofagasta
Laboratorio Dipreca;Antofagasta
Laboratorio Clinico Galeno;Antofagasta
Laboratorio Clinico Madison EIRL;Antofagasta
Laboratorio Clinico Salumed;Calama
Laboratorio Clinico Diagnolab;Calama
Laboratorio Clinico Blanco;Calama
Laboratorio Clinico COMDES;Calama
Laboratorio Sarita Nunez;Antofagasta
Centro de Salud Familiar Norte de Antofagasta;Antofagasta
Centro de Salud Familiar Antonio Rendic (Ex Cautin);Antofagasta
Centro de Salud Familiar Corvallis;Antofagasta
Centro de Salud Familiar Centro Sur de Antofagasta;Antofagasta
Centro de Salud Familiar Juan Pablo II de Antofagasta;Antofagasta
Centro de Salud Familiar Central de Calama;Calama
Centro de Salud Familiar Montt;Calama
Centro de Salud Familiar Alemania de Calama;Calama
Centro de Salud Familiar Central Oriente de Antofagasta;Antofagasta
Centro de Salud Familiar Maria Elena;Maria Elena
Centro de Salud Familiar San Pedro Atacama;San Pedro de Atacama
Centro de Salud Familiar Norponiente;Calama
Centro Asistencial Norte (CAN);Antofagasta
Posta de Salud Rural Baquedano;Sierra Gorda
Posta de Salud Rural Sierra Gorda;Sierra Gorda
Posta de Salud Rural Toconao;San Pedro de Atacama
Posta de Salud Rural Peine;San Pedro de Atacama
Posta de Salud Rural Socaire;San Pedro de Atacama
Posta de Salud Rural Caspana;Calama
Posta de Salud Rural Ollague;Ollague
Posta de Salud Rural Ayquina;Calama
Posta de Salud Rural Chiu-Chiu;Calama
Posta de Salud Rural Quillagua (Maria Elena);Maria Elena
Posta de Salud Rural Paposo;Taltal
Estacion de Salud Rural Rio Grande;San Pedro de Atacama
COSAM Calama;Calama
COSAM Sur de Antofagasta;Antofagasta
COSAM Central;Antofagasta
Policlinico Asociacion Chilena de Seguridad AChS Tocopilla;Tocopilla
Policiinico Asociacion Chilena de Seguridad AChS Calama;Calama
Policlinico Asociacion Chilena de Seguridad AChS Mejillones;Mejillones
SAPU Central Oriente de Antofagasta;Antofagasta
SAPU Centro Sur de Antofagasta;Antofagasta
Crystal Lab Scientific Diagnostics;Antofagasta
Centro de Dialisis Renacer;Calama
Margaret Meneses Meneses;Calama
Centro de Dialisis Ehrlich Limitada;Antofagasta
Centro de Salud Familiar Dra. Maria Cristina Rojas Neumann;Antofagasta
Centro Comunitario de Salud Familiar Antofagasta;Antofagasta
Centro Comunitario de Salud Familiar Sur;Calama
Centro Comunitario de Salud Familiar Alemania;Calama
SAPU Norte de Antofagasta;Antofagasta
SAPU Antonio Rendic;Antofagasta
SAPU Corvallis;Antofagasta
SAPU Juan Pablo II de Antofagasta;Antofagasta
SAPUEnrique Montt;Calama
SAPU Alemania de Calama;Calama
Vacunatorio Sociedad de Enfermeria Asistencial E.I.R.L;Calama
Vacunatorio Labonort Salud Integral;Antofagasta
Laboratorio Medinort Salud Ocupacional e Integral S.A.;Antofagasta
INMUNIN SpA;Antofagasta
Actividades Gestionadas por la Direccion del Servicio para apoyo de la Red (S.S de Atacama);Copiapo
PRAIS (S.S Atacama);Copiapo
Clinica Dental Movil Simple. Pat. PW4068 (Copiapo);Copiapo
Hospital San Jose del Carmen (Copiapo);Copiapo
Hospital Dr. Jeronimo Mendez Arancibia (Chanaral);Chanaral
Hospital Dr. Florencio Vargas (Diego de Almagro);Diego de Almagro
Hospital Provincial del Huasco Monsenor Fernando Ariztia Ruiz (Vallenar);Vallenar
Hospital Dr. Manuel Magalhaes Medling (Huasco);Huasco
Clinica San Lorenzo;Diego de Almagro
Centro de Salud del Trabajador AChS Copiapo;Copiapo
Centro de Salud Mutual CChC Copiapo;Copiapo
Clinica del Trabajador AChS Vallenar;Vallenar
Centro de Salud Universidad de Atacama;Copiapo
Centro de Salud Compania Acero del Pacifico;Vallenar
Laboratorio Bio-Test;Vallenar
Laboratorio Atacama;Copiapo
Clinica Indire;Copiapo
Centro de Salud CEDIMED;Copiapo
Laboratorio Clinico Guillermo Guaita;Copiapo
Laboratorio Clinico Huasco-Vallenar;Vallenar
Laboratorio Clinico SIAC Copiapo;Copiapo
Laboratorio Clinico Vallenar;Vallenar
Laboratorio Clinico Bionet S.A.;Copiapo
Laboratorio Clinico Diagnolab;Copiapo
Laboratorio Clinico Examed;Copiapo
Laboratorio Clinico Coprese;Vallenar
Clinica Atacama S.A.;Copiapo
Laboratorio Clinimed;Copiapo
Centro Medico y Diagnostico Atacama SPA;Copiapo
Clinica Dial Vida;Copiapo
Centro de Dialisis Nefrodial Atacama;Copiapo
Centro de Dialisis Curanilahue;Copiapo
Centro de Dialisis Vallenar;Vallenar
Centro de Dialisis Renacer del Valle;Vallenar
Centro de Salud Familiar Santa Elvira;Copiapo
Centro de Salud Familiar Rosario Corvalan;Caldera
Centro de Salud Familiar Juan Martinez;Copiapo
Centro de Salud Familiar Pedro Leon Gallo;Copiapo
Centro de Salud Familiar Rosario-Palomar;Copiapo
Centro de Salud Familiar Candelaria Rosario;Copiapo
Centro de Salud Familiar Manuel Rodriguez;Copiapo
Centro de Salud Familiar Paipote;Copiapo
Centro de Salud Familiar Dr. Salvador Allende Gossens;Tierra Amarilla
Centro de Salud Familiar Dr. Luis Herrera;Chanaral
Centro de Salud Familiar El Salvador;Diego de Almagro
Centro de Salud Familiar Estacion;Vallenar
Centro de Salud Familiar Freirina;Freirina
Centro de Salud Familiar Hermanos Carrera;Vallenar
Centro de Salud Familiar Baquedano;Vallenar
Centro de Salud Familiar Joan Crawford Astudillo;Vallenar
Centro de Salud Familiar Juan Verdaguer;Huasco
Centro de Salud Familiar Dr. Bernardo Mellibovsky;Copiapo
Centro de Salud Familiar Alto del Carmen;Alto del Carmen
Posta de Salud Rural Los Loros;Tierra Amarilla
Posta de Salud Rural El Salado de Chanaral;Chanaral
Posta de Salud Rural Inca de Oro;Diego de Almagro
Posta de Salud Rural San Felix;Alto del Carmen
Posta de Salud Rural El Transito;Alto del Carmen
Posta de Salud Rural Domeyko;Vallenar
Posta de Salud Rural Conay;Alto del Carmen
Posta de Salud Rural Hacienda Ventanas;Vallenar
Posta de Salud Rural Carrizalillo (Freirina);Freirina
Posta de Salud Rural Cachiyuyo;Vallenar
Posta de Salud Rural Incahuasi;Vallenar
Posta de Salud Rural Hacienda Compania;Vallenar
Posta de Salud Rural Segundo Ponce;Huasco
Posta de Salud Rural Las Breas (Alto del Carmen);Alto del Carmen
Posta de Salud Rural Padre Mariano Avellana Lasierra;Huasco
Posta de Salud Rural Jeremias Cortes;Huasco
Centro Comunitario de Salud Familiar Orfelia Lavin;Caldera
Puesto de Atencion Medica Especializada (Tierra Amarilla);Tierra Amarilla
Puesto de Atencion Medica Especializada (Diego de Almagro);Diego de Almagro
Puesto de Atencion Medica Especializada (Chanaral);Chanaral
SAPU Baquedano;Vallenar
SAPU Dr. Bernardo Mellibovsky;Copiapo
SAPU Joan Crawford Astudillo;Vallenar
SAPU Paipote;Copiapo
SAPU Rosario Corvalan;Caldera
SAPU El Palomar;Copiapo
Laboratorio Clinico Blanco;Vallenar
Laboratorio Clinico Bionet;Vallenar
Laboratorio Chanaral;Chanaral
Laboratorio Clinico Lopez;Vallenar
Centro de Dialisis Municipal Diego de Almagro;Diego de Almagro
Centro de Salud Mutual CChC Vallenar;Vallenar
Instituto de Rehabilitacion Infantil TELETON (Atacama);Copiapo
Laboratorio Clinico Blanco;Copiapo
Centro Medico y Dental Copiapo IIIa Zona Carabineros Atacama;Copiapo
Integramedica Copiapo;Copiapo
Centro de Salud Familiar Urbano de Illapel;Illapel
Centro Comunitario de Salud Familiar Colonia Limari;Ovalle
Vacunatorio Ad Hominem;La Serena
Centro Comunitario de Salud Familiar Punta Mira;Coquimbo
Centro Comunitario de Salud Familiar Los Copihues;Ovalle
Policlinico Universidad Pedro de Valdivia;La Serena
Policlinico de Funcionarios de Gendarmeria de Chile La Serena;La Serena
Unidad de Salud del Establecimiento Penitenciario de La Serena;La Serena
Centro de Salud IST Coquimbo;Coquimbo
Laboratorio Clinico Megasalud S.A.;La Serena
Centro de Salud Familiar El Sauce;Coquimbo
Centro de Salud Familiar Rural Pan de Azucar;Coquimbo
Laboratorio Clinico Astelab;Salamanca
Laboratorio Clinico Bionet S.A;Ovalle
Laboratorio Clinico Medilab Ltda.;Ovalle
Laboratorio Clinico Arauco;Coquimbo
Clinica Regional Coquimbo;Coquimbo
Centro de Salud Familiar Cardenal Caro;La Serena
Centro de Salud Familiar Las Companias;La Serena
Centro de Salud Familiar Pedro Aguirre Cerda;La Serena
Centro de Salud Familiar San Juan;Coquimbo
Centro de Salud Familiar Santa Cecilia;Coquimbo
Centro de Salud Familiar Tierras Blancas;Coquimbo
Centro de Salud Familiar Paihuano;Paiguano
Centro de Salud Familiar Monte Patria;Monte Patria
Centro de Salud Familiar Punitaqui;Punitaqui
Centro de Salud Familiar Canela;Canela
Centro de Salud Familiar Pichasca;Rio Hurtado
Centro de Salud Familiar Chanaral Alto;Monte Patria
Centro de Salud Familiar Caren;Monte Patria
Centro de Salud Familiar Dr. Emilio Schaffhauser;La Serena
Centro de Salud Familiar La Higuera;La Higuera
Centro de Salud Familiar Cerrillos de Tamaya;Ovalle
Centro de Salud Familiar Jorge Jordan Domic;Ovalle
Centro de Salud Familiar El Palqui;Monte Patria
Centro de Salud Familiar Cardenal Raul Silva Henriquez de La Serena;La Serena
Centro de Salud Familiar Tongoy;Coquimbo
Centro de Salud Familiar Marcos Macuada;Ovalle
Centro de Salud Familiar Dr. Sergio Aguilar Delgado;Coquimbo
Centro de Salud Familiar Sotaqui;Ovalle
Centro de Salud Familiar Juan Pablo II;La Serena
Centro de Salud Familiar Villa San Rafael de Rozas;Illapel
Posta de Salud Rural Algarrobito;La Serena
Posta de Salud Rural Las Rojas;La Serena
Posta de Salud Rural El Romero;La Serena
Posta de Salud Rural El Tangue;Coquimbo
Posta de Salud Rural Guanaqueros;Coquimbo
Posta de Salud Rural Pan de Azucar;Coquimbo
Posta de Salud Rural Tambillo;Coquimbo
Posta de Salud Rural El Chanar;Rio Hurtado
Posta de Salud Rural Hurtado;Rio Hurtado
Posta de Salud Rural Las Breas (Rio Hurtado);Rio Hurtado
Posta de Salud Rural Samo Alto;Rio Hurtado
Posta de Salud Rural Seron;Rio Hurtado
Posta de Salud Rural Barraza;Ovalle
Posta de Salud Rural Camarico (Ovalle);Ovalle
Posta de Salud Rural Alcones Bajo;Ovalle
Posta de Salud Rural Las Sossas;Ovalle
Posta de Salud Rural Limari;Ovalle
Posta de Salud Rural Hornillos;Ovalle
Posta de Salud Rural Chilecito;Monte Patria
Posta de Salud Rural Hacienda Valdivia;Monte Patria
Posta de Salud Rural Huatulame;Monte Patria
Posta de Salud Rural Mialqui;Monte Patria
Posta de Salud Rural Pedregal;Monte Patria
Posta de Salud Rural Rapel (Monte Patria);Monte Patria
Posta de Salud Rural San Lorenzo (Combarbala);Combarbala
Posta de Salud Rural San Marcos (Combarbala);Combarbala
Posta de Salud Rural Tulahuen;Monte Patria
Posta de Salud Rural El Maiten;Monte Patria
Posta de Salud Rural Chalinga;Ovalle
Posta de Salud Rural Cerro Blanco;Ovalle
Posta de Salud Rural Divisadero;Punitaqui
Posta de Salud Rural Manquehua;Combarbala
Posta de Salud Rural San Pedro de Quiles;Punitaqui
Posta de Salud Rural Carcamo;Illapel
Posta de Salud Rural Huintil;Illapel
Posta de Salud Rural Limahuida;Illapel
Posta de Salud Rural Matancilla;Illapel
Posta de Salud Rural Peralillo Illapel;Illapel
Posta de Salud Rural Santa Virginia;Illapel
Posta de Salud Rural Tunga Norte;Illapel
Posta de Salud Rural Mincha Norte;Canela
Posta de Salud Rural Agua Fria;Canela
Posta de Salud Rural Cuncumen(Salamanca);Salamanca
Posta de Salud Rural Tranquilla;Salamanca
Posta de Salud Rural Cunlagua;Salamanca
Posta de Salud Rural Chillepin;Salamanca
Posta de Salud Rural Llimpo;Salamanca
Posta de Salud Rural San Agustin (Salamanca);Salamanca
Posta de Salud Rural Tahuinco;Salamanca
Posta de Salud Rural Barrancas;Combarbala
Posta de Salud Rural Cogoti 18;Combarbala
Posta de Salud Rural El Huacho;Combarbala
Posta de Salud Rural El Sauce (Combarbala);Combarbala
Posta de Salud Rural Quilitapia;Combarbala
Posta de Salud Rural La Ligua;Combarbala
Posta de Salud Rural Ramadilla;Combarbala
Posta de Salud Rural Valle Hermoso;Combarbala
Posta de Salud Rural Diaguitas;Vicuna
Posta de Salud Rural El Molle;Vicuna
Posta de Salud Rural El Tambo (Vicuna);Vicuna
Posta de Salud Rural Huanta;Vicuna
Posta de Salud Rural Peralillo Vicuna;Vicuna
Posta de Salud Rural Rivadavia;Vicuna
Posta de Salud Rural Talcuna;Vicuna
Posta de Salud Rural Chapilca;Vicuna
Posta de Salud Rural Horcon (Paiguano);Paiguano
Posta de Salud Rural Monte Grande;Paiguano
Posta de Salud Rural Pisco Elqui;Paiguano
Posta de Salud Rural Caimanes;Los Vilos
Posta de Salud Rural Guanguali;Los Vilos
Posta de Salud Rural Quilimari;Los Vilos
Posta de Salud Rural Tilama;Los Vilos
Posta de Salud Rural Canela Alta;Canela
Posta de Salud Rural Los Rulos;Canela
Posta de Salud Rural Huentelauquen;Canela
Posta de Salud Rural Plan de Hornos;Illapel
Posta de Salud Rural Tunga Sur;Illapel
Posta de Salud Rural Canas Uno;Illapel
Posta de Salud Rural Espiritu Santo;Canela
Posta de Salud Rural Ramadas de Tulahuen;Monte Patria
Posta de Salud Rural El Durazno(Combarbala);Combarbala
Posta de Salud Rural Quelen Bajo;Salamanca
Posta de Salud Rural Camisa;Salamanca
Posta de Salud Rural Mincha Sur;Canela
Posta de Salud Rural Pintacura Sur;Illapel
Posta de Salud Rural Jaboneria;Canela
Posta de Salud Rural Quebrada Linares;Canela
Posta de Salud Rural Lambert;La Serena
Posta de Salud Rural Caleta Hornos;La Higuera
Posta de Salud Rural Arboleda Grande;Salamanca
Posta de Salud Rural Calingasta;Vicuna
Posta de Salud Rural Tabaqueros;Rio Hurtado
Posta de Salud Rural Socavon;Illapel
Posta de Salud Rural Los Choros;La Higuera
Posta de Salud Rural El Trapiche;La Higuera
Posta de Salud Rural Huamalata;Ovalle
Posta de Salud Rural El Parral de Quiles;Punitaqui
Posta de Salud Rural Gualliguaica;Vicuna
Posta de Salud Rural Recoleta;Ovalle
Posta de Salud Rural Los Condores;Los Vilos
COSAM Tierras Blancas (CESAM);Coquimbo
Centro Comunitario de Salud Familiar Villa el Indio;La Serena
Centro Comunitario de Salud Familiar Villa Alemania;La Serena
Centro Comunitario de Salud Familiar Lambert;La Serena
Centro Comunitario de Salud Familiar El Alba;Coquimbo
Centro Comunitario de Salud Familiar San Jose de la Dehesa;Ovalle
Centro Comunitario de Salud Familiar Limari;Ovalle
SAPU Las Companias;La Serena
SAPU Pedro Aguirre Cerda;La Serena
SAPU San Juan;Coquimbo
SAPU Santa Cecilia;Coquimbo
SAR Tierras Blancas;Coquimbo
SAPU Canela;Canela
SAPU Jorge Jordan Domic;Ovalle
SAPU Raul Silva Henriquez de La Serena;La Serena
SAPU Marcos Macuada;Ovalle
SAPU Dr. Sergio Aguilar;Coquimbo
SAPU Cardenal Caro;La Serena
SAPU Emilio Schaffhauser;La Serena
Policlinico de la Asociacion Chilena de Seguridad Coquimbo;Coquimbo
Centro de Dialisis Clinidial Las Companias;La Serena
Centro Comunitario de Salud Familiar Arcos de Pinamar;La Serena
Centro Medico y Dental La Serena IVa. Zona de Carabineros Coquimbo;La Serena
SAPU Juan Pablo II;La Serena
SAPU Tierras Blancas II;Coquimbo
Actividades Gestionadas por la Direccion del Servicio para apoyo de la Red (S.S de Coquimbo);La Serena
PRAIS (S.S Coquimbo);La Serena
Clinica Dental Movil Triple. Pat. PW4100 (Monte Patria);Monte Patria
Hospital San Juan de Dios (La Serena);La Serena
Hospital San Pablo (Coquimbo);Coquimbo
Hospital Dr. Antonio Tirado Lanas (Ovalle);Ovalle
Hospital Dr. Humberto Elorza Cortes (Illapel);Illapel
Hospital de Salamanca;Salamanca
Hospital San Juan de Dios (Combarbala);Combarbala
Hospital Dr. Jose Arrano (Andacollo);Andacollo
Hospital San Juan de Dios (Vicuna);Vicuna
Hospital San Pedro (Los Vilos);Los Vilos
Centro de Salud Mutual CChC La Serena;La Serena
Policlinico del Trabajador AChS La Serena;La Serena
Clinica del Trabajador de la AChS Ovalle;Ovalle
Clinica Regional Elqui;La Serena
Centro Medico Integramedica La Serena;La Serena
Centro Medico y Dental Megasalud La Serena;La Serena
Laboratorio Clinico Dra. Gloria Canovas;La Serena
Policlinico Cruz Roja de La Serena;La Serena
Centro de Salud Estudiantil - Universidad Catolica del Norte;Coquimbo
Policlinico del Trabajador AChS Illapel;Illapel
Sociedad Emergencia Movil Integral S.A.;Coquimbo
Sociedad de Profesionales de Hemodialisis Ltda.;La Serena
Sociedad Propedia Ltda.;Coquimbo
Vacunatorio La Serena;La Serena
Compania Minera del Pacifico S.A.;La Serena
Centro de Salud Mutual CChC Ovalle;Ovalle
Cruz Roja de Coquimbo;Coquimbo
Laboratorio Clinico Santa Maria de La Serena Ltda.;La Serena
Laboratorio Clinico Limari;Ovalle
Laboratorio Clinico Integramedica;La Serena
Laboratorio Clinico San Andres;Ovalle
Centro de especialidades Medicas (CEMCO);Coquimbo
Laboratorio Clinico Analyser Ltda.;La Serena
Laboratorio Clinico Ariztia Ltda.;Ovalle
Laboratorio Clinico Bionet S.A;La Serena
Sociedad de Profesionales de Huanhuali Ltda.;La Serena
Laboratorio Clinico IMATEC Ltda.;La Serena
Laboratorio Clinico Hermanos Munoz Flores;Coquimbo
Laboratorio Clinico Xima Ltda.;Coquimbo
Laboratorio clinico Hemolab Ltda.;Coquimbo
Laboratorio Clinico los Olivos;Coquimbo
Laboratorio Clinico Zuleta y Pinto;Vicuna
Laboratorio Clinico Bionet S.A;Illapel
